GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-15,2078,2730.44,363.84499999999997,9078.75
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-07,2069,3093.79,281.374,6950.98
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-25,2072,8110.34,404.92900000000003,20103.95
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2077,371.75,309.089,5368.75
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2079,4238.53,419.227,12319.04
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-07,2063,1187.9,249.04200000000003,7683.83
gfdl-esm4,ssp126,40,25,-91,75,mag7,05-07,2073,1721.78,309.371,10989.36
gfdl-esm4,ssp370,40,25,-91,75,mag6,04-15,2066,6412.81,374.755,15204.68
gfdl-esm4,ssp370,40,25,-91,75,mag8,05-15,2066,2230.15,368.36,11139.74
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-25,2069,275.99,292.30600000000004,5657.56
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-25,2070,4364.63,335.711,9182.82
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,04-25,2070,5211.12,458.92600000000004,14509.48
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-25,2065,5907.26,318.401,11689.27
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-25,2069,3575.62,337.741,9775.24
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2079,8444.83,340.639,14897.5
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-25,2063,851.23,283.484,7066.19
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2080,602.86,328.247,9909.89
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2061,5137.71,421.73,16566.2
gfdl-esm4,ssp126,40,25,-91,75,mag4,04-25,2073,4796.21,330.89599999999996,12760.15
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-15,2077,1044.93,288.625,7502.89
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-25,2063,650.27,282.169,8325.89
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,04-25,2074,4380.61,383.421,12256.0
gfdl-esm4,ssp370,40,25,-91,75,mag3,05-15,2066,4423.32,294.055,9692.81
gfdl-esm4,ssp126,40,25,-91,75,mag5,04-25,2061,10111.7,388.73,19313.54
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-15,2078,3942.82,429.36899999999997,16010.51
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-25,2072,7655.71,400.3,16969.7
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2079,3028.54,339.67999999999995,12475.85
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2077,1905.6,348.282,11700.18
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2080,191.98,284.68899999999996,3736.42
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2070,9723.86,377.31899999999996,17103.32
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2078,5795.05,376.261,12134.74
gfdl-esm4,ssp126,40,25,-91,75,mag6,05-07,2061,9433.9,395.59999999999997,18866.78
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2061,2948.71,336.58,9049.55
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2079,6519.39,381.489,12317.37
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-25,2063,1445.24,233.27999999999997,6496.22
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,04-15,2077,3636.72,408.408,11336.16
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-07,2074,1260.41,345.444,8831.21
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2074,9046.28,336.23400000000004,17328.74
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-25,2065,4204.21,391.142,13440.98
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,04-25,2070,6535.84,361.328,12478.11
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-25,2065,4385.78,306.926,10826.4
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-07,2072,11198.39,412.469,19287.52
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-25,2069,1276.24,245.269,5007.35
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-15,2063,165.28,281.758,7082.1
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2080,197.94,289.522,6891.79
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2061,7126.71,448.029,18602.98
gfdl-esm4,ssp370,40,25,-91,75,mag5,05-07,2066,5269.76,300.89,10502.48
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-15,2063,912.73,294.01,9185.29
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-25,2077,732.95,267.52099999999996,6341.57
gfdl-esm4,ssp126,40,25,-91,75,mag4,04-15,2073,4867.42,344.514,13006.68
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2079,5808.42,378.71500000000003,11472.37
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-15,2069,538.11,324.317,7111.19
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-15,2070,4546.5,352.038,9568.35
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-15,2065,6383.11,319.39099999999996,12191.77
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,04-15,2070,5455.88,461.207,15175.18
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2079,8594.62,334.611,14553.91
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-15,2069,5028.11,369.81800000000004,12282.78
gfdl-esm4,ssp370,40,25,-91,75,mag6,04-25,2066,5610.69,338.163,12994.96
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2079,5844.35,392.226,14873.57
gfdl-esm4,ssp370,40,25,-91,75,mag8,05-25,2066,3293.97,364.709,10748.07
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-07,2070,6567.29,379.896,19923.8
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-25,2078,3386.65,337.13599999999997,8040.93
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-15,2072,7985.1,419.01800000000003,20304.5
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2074,9241.84,343.61799999999994,17621.04
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2079,3817.76,400.397,11382.82
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2077,1082.18,322.492,6344.95
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-07,2079,8749.13,420.87199999999996,19062.26
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,04-15,2070,6860.71,373.02599999999995,13332.23
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-15,2065,4245.83,405.103,13812.09
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2074,8030.31,324.47,15137.52
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-15,2065,5205.98,323.104,12248.03
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-15,2069,2245.0,258.656,6151.25
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2078,6405.31,361.05,11351.45
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-25,2070,7813.83,334.414,14045.03
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2080,268.03,259.118,2932.84
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2079,4940.44,351.031,10113.9
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2061,2943.47,358.454,10035.93
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,04-25,2077,2422.34,376.208,9593.87
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-15,2063,963.18,235.294,7223.7
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-25,2078,3377.4,407.53499999999997,14833.14
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2079,7753.74,329.714,14176.25
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-07,2074,7604.89,426.101,20154.7
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-15,2072,7667.98,405.847,17159.25
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2077,2642.73,392.471,13752.27
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2079,1796.59,312.867,10409.08
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-07,2077,2690.77,344.19,8114.85
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,04-15,2074,5318.37,375.08299999999997,13247.4
gfdl-esm4,ssp370,40,25,-91,75,mag3,05-25,2066,3883.43,280.321,8630.62
gfdl-esm4,ssp126,40,25,-91,75,mag5,04-15,2061,10427.86,401.92199999999997,20558.54
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2078,4568.32,348.482,11155.94
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2077,5567.27,391.848,11861.75
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-25,2079,3963.78,317.554,8180.23
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-07,2079,8054.85,344.04,14541.02
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,04-25,2078,5447.87,415.345,13166.51
gfdl-esm4,ssp126,40,25,-91,75,mag3,04-15,2061,10092.77,388.984,20139.16
gfdl-esm4,ssp370,40,25,-91,75,mag5,05-25,2066,3890.43,290.68,8701.8
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-15,2074,1690.08,353.858,13751.46
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-07,2077,1042.29,302.529,8812.12
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-15,2069,2194.39,266.554,6146.9
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-25,2079,8312.21,374.652,15997.08
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-07,2078,2441.58,388.03999999999996,9626.16
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,04-15,2070,6904.11,382.857,13453.96
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-25,2074,7890.22,319.755,14938.94
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-25,2079,9677.31,427.57,19585.97
gfdl-esm4,ssp126,40,25,-91,75,mag7,05-15,2073,1914.18,307.53200000000004,10606.57
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-15,2063,922.6,237.57999999999998,7208.01
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-25,2079,2411.75,324.72999999999996,12084.65
gfdl-esm4,ssp370,40,25,-91,75,mag8,05-07,2066,2855.2,370.96700000000004,12068.75
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2078,6666.41,356.424,14107.43
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-25,2070,3487.28,321.47499999999997,15336.61
gfdl-esm4,ssp126,40,25,-91,75,mag6,05-15,2061,9192.19,385.29999999999995,18000.95
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2080,160.52,298.267,4609.59
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-07,2070,10909.86,391.43199999999996,19191.9
gfdl-esm4,ssp126,40,25,-91,75,mag8,04-15,2061,8420.04,469.41700000000003,22219.57
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-07,2079,6974.5,406.668,13272.12
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-15,2074,668.89,314.659,7925.04
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-07,2074,9415.69,351.288,17912.5
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2072,10942.45,407.21999999999997,18171.69
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-25,2077,1080.09,287.55600000000004,5461.52
gfdl-esm4,ssp126,40,25,-91,75,mag2,04-15,2073,1624.66,306.893,12237.44
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2061,8918.84,423.539,16018.27
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-25,2079,5398.6,415.071,14033.33
gfdl-esm4,ssp370,40,25,-91,75,mag3,05-07,2066,5385.23,298.356,10546.76
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2080,1908.5,326.87,6866.41
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-25,2070,7407.98,393.79099999999994,17950.44
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2078,3286.63,332.517,8866.23
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-25,2079,8181.82,320.242,14073.85
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-25,2074,7816.6,407.223,18591.25
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-15,2065,6501.92,333.548,12398.73
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-25,2074,9269.3,392.431,19604.05
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-07,2079,4316.33,388.82800000000003,14558.98
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-25,2063,1418.41,236.289,6494.8
gfdl-esm4,ssp126,40,25,-91,75,mag7,05-25,2073,1777.49,304.074,10320.23
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2079,4680.81,361.11,13676.23
