GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,05-15,2081,7391.78,329.078,13901.14
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2091,7723.01,366.592,14189.37
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-07,2100,10095.19,408.29099999999994,16728.87
mri-esm2-0,ssp585,40,25,-91,75,mag4,05-25,2085,7308.02,379.004,14012.22
mri-esm2-0,ssp585,40,25,-91,75,mag2,05-07,2085,7143.62,435.812,19745.03
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2091,6746.0,375.977,14566.19
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-25,2090,1721.98,324.993,5276.05
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-25,2100,8327.41,447.199,20021.02
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2099,1216.9,357.54200000000003,5738.41
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,05-07,2087,3345.32,321.57500000000005,7160.42
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-15,2092,6965.64,506.769,17657.45
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,04-25,2090,2328.31,438.982,10625.61
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag5,04-25,2090,5153.88,346.921,9538.89
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-07,2091,2475.13,308.351,5994.85
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag8,05-15,2089,4923.26,424.55400000000003,14049.26
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2098,3608.47,487.556,12105.44
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag6,04-15,2089,7171.97,402.241,15934.99
ukesm1-0-ll,ssp126,40,25,-91,75,mag5,05-07,2098,4616.42,348.197,10184.84
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2098,4043.61,352.072,8023.64
mri-esm2-0,ssp585,40,25,-91,75,mag4,04-15,2086,9211.86,408.40299999999996,15517.08
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,05-15,2081,7819.14,423.904,17891.27
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,04-15,2081,8452.66,388.756,17549.68
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2099,3683.01,390.596,7821.78
ukesm1-0-ll,ssp126,40,25,-91,75,mag6,04-25,2098,4796.71,392.72299999999996,11871.16
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-25,2087,1910.46,286.85699999999997,4631.17
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,05-25,2098,3539.3,413.095,10335.02
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag6,05-07,2090,5143.17,388.696,10979.89
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,05-25,2099,1884.52,353.115,5866.02
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2099,4950.65,488.036,13638.6
mri-esm2-0,ssp585,40,25,-91,75,mag7,04-25,2085,6095.79,398.81600000000003,15606.4
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-25,2091,6867.77,445.084,17337.71
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,04-25,2087,3676.24,361.652,8621.61
mri-esm2-0,ssp585,40,25,-91,75,mag2,04-15,2086,7864.89,459.689,20540.88
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,05-25,2087,2848.57,398.136,8616.5
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-25,2091,7528.95,454.135,17014.63
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-25,2098,6584.97,435.936,15338.08
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-25,2087,1887.9,290.219,4629.56
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-25,2091,3113.52,369.56899999999996,8486.77
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-25,2091,1378.36,398.297,6520.27
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-15,2097,3866.46,360.873,10142.49
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,05-07,2087,3293.39,326.55499999999995,7138.78
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-15,2092,6866.39,404.77200000000005,12824.98
gfdl-esm4,ssp585,40,25,-91,75,mag7,05-15,2092,4669.92,357.701,12793.48
mri-esm2-0,ssp585,40,25,-91,75,mag4,05-07,2085,8901.43,394.221,15990.97
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-25,2100,8944.7,367.62,14819.75
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-07,2091,7020.16,385.75100000000003,14912.68
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2081,4944.77,373.005,12643.63
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-07,2087,1776.46,419.589,7552.95
ukesm1-0-ll,ssp126,40,25,-91,75,mag3,05-07,2098,4672.9,343.545,10189.27
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-07,2091,2417.72,311.797,5973.86
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-25,2098,2043.24,336.96299999999997,5194.1
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag3,04-25,2090,5122.3,337.178,9463.87
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,04-25,2099,5259.34,449.502,10480.86
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-25,2091,1829.31,294.87800000000004,4608.52
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-07,2098,5051.41,494.715,13882.59
ukesm1-0-ll,ssp126,40,25,-91,75,mag5,05-25,2098,3667.27,290.413,7370.96
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-07,2100,8618.47,459.61,20431.52
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-07,2090,2317.55,345.192,6968.93
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-25,2091,7545.61,360.13,13950.58
mri-esm2-0,ssp585,40,25,-91,75,mag2,05-25,2085,7048.13,441.648,18788.09
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2099,1292.58,314.03999999999996,3893.04
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,05-25,2087,2550.15,300.34,5707.38
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-15,2081,7671.95,344.037,14243.39
mri-esm2-0,ssp585,40,25,-91,75,mag7,05-15,2086,6410.75,374.341,14299.92
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-25,2098,2926.65,398.092,9922.6
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag8,04-25,2090,5086.27,458.59900000000005,12846.16
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2081,5936.46,430.95799999999997,16306.52
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-15,2089,6080.13,350.11199999999997,11770.89
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,05-07,2098,3829.63,433.719,12193.4
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-07,2087,2181.5,304.27099999999996,5246.89
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag6,05-25,2090,4331.43,329.221,9111.28
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,05-07,2099,2841.4,403.416,7950.0
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-07,2098,4749.25,375.684,9901.26
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-15,2097,7193.74,487.42,18625.29
gfdl-esm4,ssp585,40,25,-91,75,mag2,04-15,2092,7164.91,441.658,20696.16
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,04-25,2090,4111.45,353.298,9480.46
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2081,3870.66,363.413,11987.66
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-15,2098,2813.08,349.767,6052.58
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag3,04-15,2090,5206.5,345.716,9337.98
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-25,2097,3469.27,338.64,8624.94
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,05-07,2081,7766.43,335.164,14685.4
gfdl-esm4,ssp585,40,25,-91,75,mag7,05-25,2092,4739.81,332.945,11392.94
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-25,2092,6517.53,358.347,11508.89
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag4,05-15,2100,9474.2,378.231,15085.62
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-15,2091,3997.41,384.51800000000003,9996.59
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-15,2087,1960.13,306.64200000000005,5103.85
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2081,5658.17,356.86,11151.21
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag3,05-07,2089,6630.09,357.503,13288.28
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-15,2091,1872.9,385.445,7222.28
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-15,2091,7196.07,455.77599999999995,18417.11
mri-esm2-0,ssp585,40,25,-91,75,mag7,04-15,2085,6833.04,408.899,16687.5
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2099,5498.0,501.644,14853.99
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,04-15,2087,4196.95,386.717,9830.66
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,05-15,2087,2696.58,425.46999999999997,9100.29
mri-esm2-0,ssp585,40,25,-91,75,mag2,04-25,2086,8083.55,473.93600000000004,20789.27
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2098,5649.93,453.82399999999996,15378.78
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-15,2091,7034.25,467.022,17694.52
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-25,2097,7035.43,474.19800000000004,18124.41
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,05-07,2081,7720.31,420.355,18167.13
gfdl-esm4,ssp585,40,25,-91,75,mag2,04-25,2092,6893.49,439.018,19654.55
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,04-15,2090,4423.27,356.67999999999995,9210.22
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag8,04-15,2090,5246.34,464.693,13180.64
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2081,5775.61,431.577,15471.86
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-25,2089,5280.11,326.344,10410.07
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag6,05-15,2090,4499.87,362.423,9465.35
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2099,1081.98,352.495,5112.31
mri-esm2-0,ssp585,40,25,-91,75,mag2,05-15,2085,6722.41,435.953,19024.83
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-15,2091,7115.46,382.021,15161.63
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-25,2081,7944.42,342.41,14089.45
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-07,2092,6918.42,514.957,18068.01
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,05-15,2087,3127.12,308.908,6512.74
mri-esm2-0,ssp585,40,25,-91,75,mag7,05-25,2086,5653.36,352.288,12484.07
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-15,2098,3206.49,418.15500000000003,11722.49
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,04-15,2099,5002.8,442.741,10409.04
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag8,05-07,2089,5069.24,440.742,15182.61
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-15,2091,2056.94,281.845,4993.64
ukesm1-0-ll,ssp126,40,25,-91,75,mag5,05-15,2098,4490.75,330.359,9580.58
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,04-25,2089,6384.68,419.106,15743.85
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-15,2090,8063.35,435.98900000000003,13132.69
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-15,2098,1671.78,258.46299999999997,4157.62
mri-esm2-0,ssp585,40,25,-91,75,mag6,05-07,2086,6190.89,354.943,13156.63
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-15,2090,1822.0,359.509,6280.01
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-15,2100,5997.86,298.17499999999995,10766.51
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-25,2092,3906.92,272.22299999999996,7901.86
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag4,05-07,2081,11963.07,418.932,19965.06
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2087,5328.45,495.16,14432.25
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-15,2099,2356.31,344.471,5753.62
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,04-15,2099,2889.97,456.398,9935.68
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,04-15,2098,4819.64,447.217,14050.6
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,05-07,2089,9267.23,428.837,16998.44
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-07,2081,3847.72,271.085,8169.77
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag7,04-25,2081,7925.85,407.493,17836.18
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-15,2099,2875.4,313.86400000000003,6575.96
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-15,2098,2749.46,307.532,6827.27
mri-esm2-0,ssp585,40,25,-91,75,mag5,04-25,2086,5695.49,342.337,11487.62
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-25,2092,4308.76,368.299,11115.27
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-15,2100,5930.15,396.535,14915.07
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,04-25,2097,5527.31,344.799,11381.63
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-15,2090,6638.01,495.151,17099.04
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-15,2100,7748.07,361.71000000000004,15228.39
gfdl-esm4,ssp585,40,25,-91,75,mag5,04-25,2092,5907.17,315.49,12992.0
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,04-25,2092,4767.84,415.006,12570.84
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-15,2098,1145.54,374.328,6002.88
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,05-25,2089,7389.85,451.224,18807.28
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-25,2081,3093.05,278.938,6998.94
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,04-15,2098,4004.34,344.688,8778.65
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-15,2087,4970.84,413.036,9326.98
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-07,2092,4601.23,356.977,10413.5
gfdl-esm4,ssp585,40,25,-91,75,mag6,05-07,2092,5358.95,338.581,12819.09
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag2,05-25,2081,10069.92,440.334,22502.85
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2091,11131.25,472.302,20516.73
mri-esm2-0,ssp585,40,25,-91,75,mag5,05-15,2085,5610.52,312.453,11554.71
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag6,05-07,2097,4265.17,349.418,10102.96
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-07,2081,3009.71,373.14,10605.08
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2091,3517.57,362.63300000000004,7304.64
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2087,3815.35,390.068,9327.34
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,04-15,2099,3294.74,346.091,7516.44
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,05-15,2098,7138.91,508.724,17705.07
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag7,04-15,2081,8236.05,414.16900000000004,18537.5
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-25,2099,2458.86,315.506,5689.47
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-25,2098,2218.74,269.875,5305.8
mri-esm2-0,ssp585,40,25,-91,75,mag5,04-15,2086,5952.75,331.69899999999996,11438.08
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2087,4955.25,468.81600000000003,13661.19
