GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag7,05-07,2017,7565.03,407.519,18178.95
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag2,05-25,2004,5544.5,390.804,17480.92
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-15,2008,2802.11,311.50800000000004,11185.19
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2015,12115.87,394.38300000000004,18947.47
gfdl-esm4,ssp585,40,25,-91,75,mag7,05-25,2019,7417.18,377.847,16847.45
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-15,2009,7736.25,429.284,20142.45
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,04-15,2003,4606.16,416.39599999999996,17538.64
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-15,2009,6724.56,354.763,15370.62
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-15,2003,4185.79,353.27700000000004,13979.72
mri-esm2-0,ssp126,40,25,-91,75,mag7,05-07,2011,6468.58,408.256,17542.34
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-15,2018,8336.81,367.163,16042.55
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,04-15,2018,8006.3,436.757,20089.85
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-15,2017,8112.69,336.844,16076.07
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag4,04-25,2017,12131.86,427.807,21566.44
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-25,2020,3189.57,290.097,10846.62
mri-esm2-0,ssp126,40,25,-91,75,mag4,04-25,2011,12082.13,447.87800000000004,21387.82
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-15,2004,10598.21,406.215,21025.49
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2015,8038.55,350.988,15895.42
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,05-15,2002,9860.05,447.922,23592.15
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,04-15,2009,8956.06,430.78999999999996,22970.42
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2015,5288.77,403.706,16828.86
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2015,9063.41,411.83,17383.07
mri-esm2-0,ssp126,40,25,-91,75,mag5,04-25,2003,5141.85,320.165,14248.64
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,04-15,2003,9128.77,366.99300000000005,17973.03
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-15,2009,10147.38,348.469,18256.07
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2015,6681.04,312.327,12857.23
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-07,2020,4646.78,344.40700000000004,11643.02
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag7,04-25,2004,5791.94,425.437,18611.9
gfdl-esm4,ssp585,40,25,-91,75,mag2,04-25,2019,5197.88,384.878,18977.34
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,04-15,2004,11085.92,452.962,25223.0
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,04-15,2002,9558.49,438.41,20577.26
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-15,2015,6746.3,378.964,16489.58
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-15,2009,5401.31,371.944,15463.01
mri-esm2-0,ssp126,40,25,-91,75,mag6,05-07,2003,3913.44,320.887,13282.01
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-07,2015,5587.1,406.67499999999995,16601.95
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2015,5614.53,423.279,16349.03
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-15,2017,6705.79,402.78000000000003,18068.55
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-15,2002,9264.67,360.264,16794.05
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2015,10513.76,430.93100000000004,22335.38
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,04-15,2018,9065.87,359.19399999999996,17955.87
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-25,2020,2769.24,361.35699999999997,11953.42
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag4,05-07,2004,10121.6,428.937,20104.97
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-15,2017,8981.16,416.62,19983.57
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,04-15,2009,10221.18,356.22400000000005,18397.17
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-25,2004,10169.18,389.526,20185.08
mri-esm2-0,ssp126,40,25,-91,75,mag4,04-15,2011,12560.39,452.036,22357.91
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,05-25,2002,9631.3,445.271,23107.59
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,04-25,2009,7879.46,425.132,22086.02
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2015,6631.15,401.106,18026.2
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-25,2018,7976.54,363.496,15287.03
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,04-25,2018,7943.6,422.19800000000004,19856.85
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2020,2906.46,310.336,11238.05
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag4,04-15,2017,12689.85,433.788,21997.66
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-25,2017,7809.51,317.73199999999997,15161.75
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,04-25,2003,3935.44,414.18399999999997,16843.38
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-25,2009,6655.42,433.453,19224.97
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-25,2003,2827.7,330.659,12566.59
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-25,2009,6106.21,338.703,13942.23
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-25,2008,3069.31,289.84299999999996,10214.32
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag2,05-15,2004,5956.03,404.231,18628.87
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2015,12478.22,410.464,19575.31
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,05-07,2002,9600.59,356.71000000000004,16778.55
gfdl-esm4,ssp585,40,25,-91,75,mag7,05-15,2019,7089.94,379.696,17002.21
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-25,2002,8454.83,343.471,15560.52
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-25,2017,6840.05,382.76099999999997,17369.92
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,04-25,2018,8909.09,351.382,17586.98
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-25,2017,8636.27,395.21,18396.98
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,04-25,2009,9631.82,368.406,17993.46
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-15,2020,2693.35,375.857,13082.15
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,05-07,2008,2744.27,290.756,11390.82
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,04-25,2004,11094.97,449.823,25231.23
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,04-25,2002,9512.35,434.679,20064.96
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-25,2009,4953.76,364.157,14153.77
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-25,2015,5773.09,364.219,15729.54
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2015,5508.56,421.931,16287.61
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag7,04-15,2004,6391.85,449.59900000000005,19741.72
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-07,2017,8616.42,358.693,16879.75
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag8,05-07,2002,8313.79,440.832,20348.67
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-07,2009,7607.44,375.324,16634.53
gfdl-esm4,ssp585,40,25,-91,75,mag2,04-15,2019,5404.27,389.149,19149.23
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,05-07,2015,2137.11,358.924,12690.86
mri-esm2-0,ssp126,40,25,-91,75,mag5,04-15,2003,5362.23,339.075,15438.23
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,05-07,2002,13939.22,437.41200000000003,22352.26
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-25,2009,9574.38,357.701,17814.23
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,04-25,2003,8392.26,364.441,17356.22
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2015,7478.5,330.668,14214.3
gfdl-esm4,ssp585,40,25,-91,75,mag4,04-15,2019,12184.9,413.311,18900.13
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-15,2015,8224.17,446.111,19557.54
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-07,2018,8733.12,385.61199999999997,17391.4
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,04-25,2008,1199.66,318.25,10672.49
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2017,8319.5,347.54699999999997,16481.81
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-15,2015,7520.3,325.797,14183.53
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-07,2004,10316.29,406.547,21427.2
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-25,2009,9631.82,368.406,17993.46
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,05-07,2002,10064.09,452.433,23928.38
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,04-25,2003,8214.12,371.772,17267.83
mri-esm2-0,ssp126,40,25,-91,75,mag3,04-15,2003,5545.1,337.264,15505.96
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,04-25,2009,9574.38,357.701,17814.23
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag7,05-15,2017,8460.88,398.407,17684.87
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-07,2008,2424.2,319.384,11567.64
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,04-25,2018,9234.82,365.224,17976.95
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag3,05-25,2002,8125.88,333.001,15159.35
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,04-25,2015,1749.62,343.688,15245.65
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-07,2003,5349.78,376.784,16070.13
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-07,2009,7607.44,375.324,16634.53
mri-esm2-0,ssp126,40,25,-91,75,mag7,05-15,2011,6518.42,386.293,16172.53
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,04-25,2004,15002.35,440.727,25293.19
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-15,2015,8099.24,409.476,17837.55
mri-esm2-0,ssp126,40,25,-91,75,mag8,04-15,2003,1412.23,370.226,14775.22
mri-esm2-0,ssp126,40,25,-91,75,mag6,05-15,2003,3723.87,315.795,12356.82
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-07,2009,6639.43,392.272,16908.0
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-15,2015,4675.15,379.105,14934.12
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-07,2002,9779.25,364.49199999999996,17050.32
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-07,2017,6638.88,424.488,18687.38
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2015,10529.19,418.428,21606.26
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,05-25,2008,3156.65,261.22,10631.03
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag4,05-15,2004,9723.24,419.089,18997.92
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-15,2015,8918.07,407.23999999999995,16657.51
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,05-25,2015,2910.43,325.685,10633.45
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,04-25,2009,12737.16,432.72299999999996,21741.58
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,05-25,2002,12986.46,412.62699999999995,20930.32
mri-esm2-0,ssp126,40,25,-91,75,mag2,04-15,2011,7566.39,454.603,22291.62
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2020,4243.72,326.159,10301.65
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag2,04-15,2017,6996.49,417.783,20824.66
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-25,2009,6106.21,338.703,13942.23
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2017,7963.25,327.887,15386.3
