,model_label,year,precipitation,temperature
0,ssp126_gfdl-esm4,2091,0.009638573043048382,286.8882751464844
1,ssp585_ukesm1-0-ll,2087,0.01838952675461769,294.6135559082031
2,ssp585_gfdl-esm4,2092,0.014516649767756462,289.4186706542969
3,ssp585_mri-esm2-0,2085,0.01251207571476698,290.3006896972656
4,ssp126_mpi-esm1-2-hr,2100,0.010623417794704437,286.76513671875
5,ssp585_ukesm1-0-ll,2081,0.023159107193350792,292.3257751464844
6,ssp585_ukesm1-0-ll,2098,0.018543994054198265,295.5743103027344
7,ssp126_mpi-esm1-2-hr,2092,0.007542773615568876,286.9975891113281
8,ssp370_ukesm1-0-ll,2098,0.019344445317983627,293.7562561035156
9,ssp585_ukesm1-0-ll,2099,0.01788160391151905,296.7603454589844
10,ssp585_mpi-esm1-2-hr,2089,0.01381737645715475,291.0860595703125
11,ssp370_ukesm1-0-ll,2090,0.012322163209319115,293.3369445800781
12,ssp585_ipsl-cm6a-lr,2087,0.016552869230508804,292.1502380371094
13,ssp370_ukesm1-0-ll,2091,0.015317274257540703,294.4124450683594
14,ssp126_ukesm1-0-ll,2098,0.008516096509993076,288.6186828613281
15,ssp585_mpi-esm1-2-hr,2097,0.009082430973649025,290.9230041503906
16,ssp370_ipsl-cm6a-lr,2090,0.017720187082886696,290.99163818359375
17,ssp585_mri-esm2-0,2086,0.010940183885395527,289.82415771484375
18,ssp126_ipsl-cm6a-lr,2081,0.020385174080729485,287.357421875
19,ssp585_ipsl-cm6a-lr,2099,0.012799989432096481,295.3009338378906
