GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag8,04-15,2057,7465.11,450.287,20147.16
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag3,04-25,2055,8068.9,392.201,17111.94
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-25,2053,4512.27,321.937,8933.23
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag2,04-25,2043,4852.43,416.375,17170.0
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag6,05-15,2057,8256.69,378.89700000000005,17919.91
gfdl-esm4,ssp370,40,25,-91,75,mag5,04-15,2042,2708.57,300.934,11499.46
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-07,2049,2254.1,356.68,8914.12
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag3,05-25,2054,6658.23,326.901,11909.36
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-15,2059,5524.04,368.01099999999997,13531.03
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,04-15,2041,7942.36,380.702,15709.82
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-25,2056,2236.95,276.95799999999997,7070.53
gfdl-esm4,ssp585,40,25,-91,75,mag3,04-15,2042,2204.59,265.75300000000004,10193.17
mri-esm2-0,ssp585,40,25,-91,75,mag6,05-25,2057,6281.76,331.762,11812.93
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-15,2055,3923.67,421.847,12209.29
mri-esm2-0,ssp585,40,25,-91,75,mag8,04-25,2057,6137.15,400.824,16389.86
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,04-15,2055,7002.24,389.55400000000003,15087.39
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-15,2060,10287.85,434.27099999999996,23736.25
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,04-15,2059,3577.14,333.9,10318.67
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-25,2057,3250.39,275.629,6033.98
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,04-25,2049,5707.57,400.686,12482.24
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag6,04-25,2054,7668.9,421.433,16380.91
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag8,05-25,2054,6279.76,420.465,15221.07
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-07,2057,4068.65,320.236,8763.13
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2050,5589.55,375.49600000000004,13932.21
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag8,04-25,2055,6437.36,462.86199999999997,18425.71
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag6,05-25,2055,6607.47,367.382,13540.51
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag3,04-15,2057,8615.32,370.076,17690.21
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag7,05-25,2043,3483.89,365.719,11642.18
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-15,2056,6819.08,330.799,13082.27
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag5,05-07,2054,7032.98,339.756,12724.63
gfdl-esm4,ssp585,40,25,-91,75,mag4,05-15,2051,11101.8,402.139,18179.08
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-25,2057,3880.92,357.394,9416.97
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-25,2056,556.41,246.81900000000002,4646.63
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,04-15,2059,551.65,390.76800000000003,10774.28
gfdl-esm4,ssp585,40,25,-91,75,mag6,05-15,2042,201.34,223.494,6963.64
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-07,2053,3013.29,355.19500000000005,13387.72
mri-esm2-0,ssp585,40,25,-91,75,mag3,04-25,2057,7271.13,340.218,14237.28
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-15,2055,4935.18,329.304,9592.52
gfdl-esm4,ssp585,40,25,-91,75,mag8,04-15,2042,102.9,278.068,9877.01
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-25,2057,3686.81,358.537,9962.06
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-15,2059,1522.71,333.302,6537.59
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-15,2060,8614.28,451.962,21437.68
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-25,2056,168.45,301.61899999999997,7492.59
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2047,7263.35,363.517,14300.3
