GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag7,05-15,2032,4927.95,372.75600000000003,14313.95
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-15,2033,5918.95,347.086,13935.22
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,04-15,2036,9979.97,449.26800000000003,22334.29
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,05-25,2023,10601.64,415.51,24232.27
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag6,05-15,2036,10255.58,388.426,19940.31
mri-esm2-0,ssp370,40,25,-91,75,mag2,05-25,2037,4356.7,372.197,16984.69
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag5,04-15,2029,7473.07,362.584,16739.68
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-25,2029,7764.59,350.39599999999996,14253.8
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-25,2023,6980.27,369.37,13934.82
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag2,04-15,2036,10616.92,431.758,23664.75
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,04-15,2040,7700.39,403.36800000000005,17403.03
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,04-15,2040,1011.29,376.163,10905.96
ukesm1-0-ll,ssp126,40,25,-91,75,mag3,05-15,2039,5635.76,336.959,12124.99
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag2,04-25,2039,4083.98,363.463,17871.62
ukesm1-0-ll,ssp126,40,25,-91,75,mag6,05-15,2040,1546.39,291.377,7888.49
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,05-25,2038,9198.7,407.038,21249.11
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-15,2036,2921.58,305.723,12033.38
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,04-25,2023,8920.46,418.39,21279.94
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,05-07,2038,12686.41,415.034,21055.11
gfdl-esm4,ssp585,40,25,-91,75,mag6,05-07,2028,7047.41,368.575,15246.02
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,04-15,2036,9956.74,362.252,18099.62
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2022,1267.9,292.443,6614.24
mri-esm2-0,ssp370,40,25,-91,75,mag7,04-25,2037,6871.48,416.803,18041.92
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,04-15,2032,5070.11,408.38599999999997,18820.02
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,05-07,2029,6444.8,357.62,16350.12
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-07,2037,2580.23,351.031,9547.38
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-07,2023,3587.54,378.95,15916.57
mri-esm2-0,ssp370,40,25,-91,75,mag4,05-07,2037,9944.21,396.70099999999996,18236.49
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag7,05-25,2039,1064.6,322.026,10037.44
ukesm1-0-ll,ssp126,40,25,-91,75,mag6,04-15,2039,6107.25,394.666,15178.84
gfdl-esm4,ssp585,40,25,-91,75,mag5,04-25,2028,7679.49,357.32800000000003,15332.51
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,05-15,2039,5454.0,417.303,14947.41
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-15,2036,1975.16,320.094,9407.19
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,05-07,2023,14578.24,416.17999999999995,23654.75
