GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2080,4730.12,509.615,14229.02
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-25,2070,6794.11,297.747,11990.53
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2061,7770.63,472.73199999999997,19246.9
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-25,2074,3524.44,370.687,10324.93
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag3,05-07,2063,6142.53,332.689,12679.42
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-25,2074,12061.13,400.926,20228.56
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-15,2069,2914.84,388.916,9707.26
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2079,6004.87,383.705,11668.81
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-15,2069,5348.88,385.01800000000003,12603.56
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-15,2065,6526.08,321.721,12334.74
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,05-07,2070,5387.81,325.528,10434.14
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2079,6820.93,477.592,18040.0
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-07,2070,7104.24,411.034,18410.95
gfdl-esm4,ssp370,40,25,-91,75,mag2,05-25,2066,7048.06,441.14099999999996,18018.5
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,04-15,2077,7972.91,455.79699999999997,14302.97
gfdl-esm4,ssp126,40,25,-91,75,mag4,04-15,2061,14652.83,466.749,25147.05
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-15,2072,7870.32,376.264,16086.92
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-07,2079,10546.62,447.721,23321.52
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-25,2078,3386.65,337.13599999999997,8040.93
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2077,1335.51,358.942,6877.93
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2079,3817.76,400.397,11382.82
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-15,2072,6732.33,412.44100000000003,16708.2
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-15,2065,5421.48,429.21500000000003,15408.8
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,05-07,2070,4781.66,410.43399999999997,13148.27
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-25,2074,6512.36,513.783,19592.74
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-25,2079,13521.75,411.109,20184.75
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-15,2069,3067.35,277.38599999999997,6973.6
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-15,2065,5205.98,323.104,12248.03
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag8,05-07,2063,5487.77,442.318,15074.14
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2080,1237.67,312.908,4734.27
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2078,7749.08,393.956,13269.39
gfdl-esm4,ssp126,40,25,-91,75,mag5,04-15,2073,8277.98,388.75399999999996,16149.47
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2061,3298.6,364.694,10391.06
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2079,5642.4,371.007,10815.86
gfdl-esm4,ssp370,40,25,-91,75,mag4,05-07,2066,8721.11,399.303,14915.01
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-15,2072,7105.74,319.859,13153.22
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,05-25,2070,4096.91,306.967,7904.28
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-25,2078,6093.81,467.294,17624.07
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2079,6742.48,438.82500000000005,15715.75
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2077,5933.74,500.583,17432.5
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-25,2063,5769.95,315.705,11258.66
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-07,2074,9614.91,437.414,23665.72
gfdl-esm4,ssp370,40,25,-91,75,mag7,04-25,2066,6301.85,398.03,14821.8
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2078,4605.54,352.472,11343.53
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-07,2070,8076.6,324.758,15362.06
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-25,2072,7866.74,376.308,15938.8
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-07,2069,3433.29,291.47400000000005,7290.48
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-15,2078,3504.67,378.749,9872.18
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2079,4238.53,419.227,12319.04
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2077,1061.68,358.428,6415.0
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-25,2072,6786.36,385.37300000000005,16069.4
gfdl-esm4,ssp370,40,25,-91,75,mag2,05-15,2066,6990.1,453.998,18554.2
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,04-25,2077,7366.66,444.964,13508.49
gfdl-esm4,ssp126,40,25,-91,75,mag4,04-25,2061,14356.0,457.979,23777.3
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2074,13181.28,410.731,21979.47
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-15,2074,3813.18,416.427,12091.86
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-25,2069,3139.47,377.443,9514.2
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,04-25,2069,4197.64,358.871,10397.26
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,04-25,2065,5969.09,319.346,11751.36
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-07,2072,7842.49,342.673,14720.76
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2080,5287.68,510.956,15570.81
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2070,7274.85,326.847,13868.23
gfdl-esm4,ssp126,40,25,-91,75,mag7,05-07,2061,8969.84,426.997,19772.92
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,05-07,2077,4012.86,405.31500000000005,10686.6
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2061,6802.82,464.341,18231.32
gfdl-esm4,ssp370,40,25,-91,75,mag7,04-15,2066,6735.11,418.83900000000006,16318.52
gfdl-esm4,ssp126,40,25,-91,75,mag6,05-07,2073,7124.71,375.979,15508.32
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag5,05-15,2070,4325.66,326.872,8150.07
gfdl-esm4,ssp126,40,25,-91,75,mag3,05-25,2072,6577.08,299.461,12083.99
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-15,2078,5898.66,479.576,17966.35
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2077,4808.51,497.953,16129.67
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2079,6713.03,427.805,16210.86
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag5,05-15,2063,6151.35,335.033,12699.54
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-15,2078,8801.64,437.272,15676.21
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-15,2080,1244.29,351.323,5585.45
gfdl-esm4,ssp126,40,25,-91,75,mag5,04-25,2073,7774.45,371.201,15619.21
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-15,2079,7158.57,400.395,13067.73
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2061,3168.54,340.55,9269.38
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-15,2074,6572.25,519.522,20336.19
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-25,2065,5066.66,410.69300000000004,14654.4
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-25,2069,3113.57,281.279,6865.25
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2079,13162.94,409.922,20655.09
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-25,2065,4385.78,306.926,10826.4
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2079,6330.32,461.657,17364.24
gfdl-esm4,ssp126,40,25,-91,75,mag8,05-15,2070,7345.07,407.075,17510.03
gfdl-esm4,ssp126,40,25,-91,75,mag3,04-25,2073,7753.07,363.918,15484.01
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-15,2078,8202.25,477.697,19509.87
gfdl-esm4,ssp126,40,25,-91,75,mag6,04-15,2070,8915.42,391.926,18306.22
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-25,2069,3069.96,288.666,6856.2
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-15,2079,10679.37,447.12300000000005,23339.74
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2077,1808.27,392.306,8688.55
