GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,04-25,2057,12630.66,440.285,22004.59
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag7,04-25,2041,7356.03,425.86199999999997,16744.43
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2055,6986.31,483.04200000000003,18295.08
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-15,2060,10137.95,448.818,24572.13
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-15,2059,3390.35,423.572,9931.06
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,04-25,2057,4297.13,433.99699999999996,12308.47
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-25,2056,3870.11,359.33500000000004,9384.82
ukesm1-0-ll,ssp585,40,25,-91,75,mag3,05-07,2053,4322.86,292.63,8559.95
gfdl-esm4,ssp585,40,25,-91,75,mag3,04-15,2042,8546.16,379.126,16590.05
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-07,2041,11374.64,437.866,18567.96
gfdl-esm4,ssp370,40,25,-91,75,mag5,04-15,2042,7537.11,385.655,16328.0
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag7,05-07,2057,8009.76,415.23,18873.86
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,04-15,2050,5659.39,359.262,12918.08
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-07,2057,7183.3,414.63100000000003,13223.78
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,05-25,2056,8694.78,445.995,20546.28
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-15,2055,6496.26,408.769,15754.87
gfdl-esm4,ssp585,40,25,-91,75,mag8,04-15,2042,6726.16,501.33799999999997,19172.36
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-07,2053,3756.84,392.724,11400.55
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-25,2057,7870.13,431.805,16650.11
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-15,2060,9570.91,466.135,22493.7
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,04-15,2059,6360.45,544.679,19170.06
gfdl-esm4,ssp126,40,25,-91,75,mag5,05-15,2047,7509.34,367.90599999999995,14546.29
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,05-15,2043,6449.09,357.19899999999996,12742.64
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,05-07,2056,10576.58,414.243,18208.97
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,04-25,2056,6911.18,515.723,17856.82
gfdl-esm4,ssp585,40,25,-91,75,mag6,05-15,2042,6132.67,426.68399999999997,15754.55
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,04-25,2049,5703.1,384.148,11329.4
gfdl-esm4,ssp585,40,25,-91,75,mag4,05-15,2051,11101.8,402.139,18179.08
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,05-25,2041,10243.58,422.748,21999.27
mri-esm2-0,ssp585,40,25,-91,75,mag5,05-15,2057,5593.18,321.396,10085.35
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag4,04-15,2055,12059.56,468.443,21941.57
