,model_label,year,precipitation,temperature
0,ssp126_gfdl-esm4,2073,0.010340987704694271,286.0893249511719
1,ssp585_ukesm1-0-ll,2079,0.01788160391151905,293.134033203125
2,ssp585_ukesm1-0-ll,2078,0.018543994054198265,294.224853515625
3,ssp126_gfdl-esm4,2079,0.021181903779506683,286.4745178222656
4,ssp370_ukesm1-0-ll,2078,0.019344445317983627,291.7825622558594
5,ssp585_ipsl-cm6a-lr,2070,0.01761435531079769,290.6305236816406
6,ssp126_gfdl-esm4,2061,0.01394748967140913,285.85711669921875
7,ssp370_ukesm1-0-ll,2079,0.014954737387597561,291.6729431152344
8,ssp370_ukesm1-0-ll,2069,0.020305084064602852,289.7065734863281
9,ssp126_gfdl-esm4,2070,0.011525360867381096,286.4136962890625
10,ssp370_gfdl-esm4,2066,0.010689971968531609,287.8608093261719
11,ssp585_ukesm1-0-ll,2061,0.023159107193350792,291.912353515625
12,ssp126_gfdl-esm4,2072,0.016994807869195938,286.31195068359375
13,ssp585_ukesm1-0-ll,2080,0.013768215663731098,294.2156982421875
14,ssp126_mpi-esm1-2-hr,2063,0.011089597828686237,287.295166015625
15,ssp585_mpi-esm1-2-hr,2074,0.00959939043968916,289.25323486328125
16,ssp585_ukesm1-0-ll,2077,0.01574406400322914,294.17803955078125
17,ssp585_ipsl-cm6a-lr,2077,0.0164988711476326,292.0459289550781
18,ssp126_gfdl-esm4,2074,0.02051956206560135,285.7537536621094
19,ssp585_ukesm1-0-ll,2065,0.012442132458090782,292.203369140625
