GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,ssp126,40,25,-91,75,mag7,05-25,2004,10169.18,389.526,20185.08
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-15,2015,7489.56,458.661,20293.39
ukesm1-0-ll,ssp126,40,25,-91,75,mag2,04-25,2009,9246.78,462.412,23453.33
mri-esm2-0,ssp126,40,25,-91,75,mag8,05-25,2011,6246.27,403.77700000000004,16092.79
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag4,04-25,2004,10324.58,451.257,21734.77
gfdl-esm4,ssp126,40,25,-91,75,mag7,04-25,2017,8327.97,425.461,19453.27
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-15,2020,7498.2,472.101,19832.93
mri-esm2-0,ssp126,40,25,-91,75,mag6,04-25,2011,8278.98,411.355,18343.63
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,04-25,2009,7164.23,442.283,19733.78
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-15,2002,13999.56,452.452,23168.11
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-15,2015,11375.67,419.82399999999996,18972.27
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,05-25,2009,7241.33,357.031,15077.35
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag2,04-25,2017,9655.9,451.266,22977.74
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,04-15,2015,7328.04,469.42199999999997,19288.47
mri-esm2-0,ssp126,40,25,-91,75,mag5,05-07,2011,7829.33,361.45,16095.01
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-15,2002,9096.3,388.337,18310.83
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-25,2008,11098.57,415.75100000000003,19405.7
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-07,2017,12840.37,433.182,22003.78
gfdl-esm4,ssp585,40,25,-91,75,mag3,04-15,2019,8465.15,340.459,14331.44
