GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,05-25,1961,9433.89,439.875,23367.7
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,05-07,1968,13623.45,460.428,23311.39
ipsl-cm6a-lr,historical,40,25,-91,75,mag4,05-15,1975,13457.97,453.45799999999997,23832.97
mri-esm2-0,historical,40,25,-91,75,mag5,05-07,1969,8816.24,374.126,17843.3
mri-esm2-0,historical,40,25,-91,75,mag7,04-25,1976,8848.77,411.478,20147.1
gfdl-esm4,historical,40,25,-91,75,mag7,05-25,1979,9726.92,382.23199999999997,19365.75
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,04-25,1973,8967.42,471.40500000000003,21728.2
gfdl-esm4,historical,40,25,-91,75,mag2,05-25,1980,7610.19,463.846,20834.47
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,04-25,1968,8950.01,442.98699999999997,20346.38
gfdl-esm4,historical,40,25,-91,75,mag3,05-07,1967,10973.96,364.13800000000003,18865.15
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-15,1970,15709.57,444.761,24753.9
mri-esm2-0,historical,40,25,-91,75,mag8,05-25,1969,9909.9,427.634,20976.85
ukesm1-0-ll,historical,40,25,-91,75,mag6,05-15,1963,11725.96,384.095,22593.44
mri-esm2-0,historical,40,25,-91,75,mag3,05-25,1964,8415.12,331.6,14848.66
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,05-15,1975,8699.25,361.06399999999996,17549.94
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,05-07,1973,13605.87,489.08099999999996,24534.22
gfdl-esm4,historical,40,25,-91,75,mag2,05-07,1963,10157.07,451.21799999999996,23733.41
ukesm1-0-ll,historical,40,25,-91,75,mag5,05-15,1974,10559.49,342.83500000000004,20502.34
ukesm1-0-ll,historical,40,25,-91,75,mag8,04-15,1963,10692.39,452.144,25801.34
mri-esm2-0,historical,40,25,-91,75,mag6,04-25,1969,8668.08,428.185,19625.54
mri-esm2-0,historical,40,25,-91,75,mag4,05-07,1976,14396.73,437.574,24077.29
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,05-15,1967,12555.91,421.78,21244.13
