GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,historical,40,25,-91,75,mag6,05-25,1970,1178.42,240.75,9763.76
gfdl-esm4,historical,40,25,-91,75,mag2,05-15,1967,9291.11,443.358,22546.15
ukesm1-0-ll,historical,40,25,-91,75,mag8,04-25,1970,709.95,292.03000000000003,11116.64
mri-esm2-0,historical,40,25,-91,75,mag4,04-15,1969,9032.7,410.346,18888.0
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,05-25,1973,4699.23,349.015,16159.55
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,05-15,1967,10216.44,384.03999999999996,18904.67
ukesm1-0-ll,historical,40,25,-91,75,mag7,05-25,1974,8880.82,393.848,21529.45
gfdl-esm4,historical,40,25,-91,75,mag3,05-15,1963,8742.94,348.743,17160.44
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-25,1963,16347.16,417.76,26080.2
gfdl-esm4,historical,40,25,-91,75,mag5,04-15,1979,9108.45,386.34799999999996,19237.21
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-15,1977,10914.18,460.247,24741.11
ukesm1-0-ll,historical,40,25,-91,75,mag2,04-25,1962,10178.98,433.817,25152.78
mri-esm2-0,historical,40,25,-91,75,mag5,04-15,1976,9571.39,363.754,18583.66
ipsl-cm6a-lr,historical,40,25,-91,75,mag6,05-15,1961,9676.55,380.514,19183.96
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,05-25,1968,7025.96,343.315,17494.08
ipsl-cm6a-lr,historical,40,25,-91,75,mag8,04-15,1961,9565.13,446.56500000000005,22803.94
ukesm1-0-ll,historical,40,25,-91,75,mag3,04-25,1966,10797.85,355.072,19262.09
ukesm1-0-ll,historical,40,25,-91,75,mag3,05-15,1968,8441.54,345.298,16560.91
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,04-25,1973,4752.02,405.597,17282.96
ukesm1-0-ll,historical,40,25,-91,75,mag2,04-25,1974,9826.94,443.056,26051.46
gfdl-esm4,historical,40,25,-91,75,mag8,05-15,1963,8634.75,419.048,19957.2
gfdl-esm4,historical,40,25,-91,75,mag6,04-15,1963,8740.68,410.343,18318.48
ukesm1-0-ll,historical,40,25,-91,75,mag7,04-15,1977,9979.74,436.017,21980.07
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,05-07,1968,8695.05,389.474,18158.78
ukesm1-0-ll,historical,40,25,-91,75,mag3,04-25,1970,2860.18,271.205,11680.01
mri-esm2-0,historical,40,25,-91,75,mag4,04-15,1964,14305.83,467.47,24571.54
ipsl-cm6a-lr,historical,40,25,-91,75,mag6,05-07,1975,8315.7,417.226,20511.06
gfdl-esm4,historical,40,25,-91,75,mag7,04-15,1967,10579.65,430.362,22204.71
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,05-15,1975,8025.42,351.94,16876.11
ukesm1-0-ll,historical,40,25,-91,75,mag6,04-15,1968,8464.79,413.89,19538.96
ukesm1-0-ll,historical,40,25,-91,75,mag6,05-25,1966,9386.49,353.094,18050.27
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-07,1963,10401.04,465.701,26174.6
ukesm1-0-ll,historical,40,25,-91,75,mag8,05-15,1968,8220.75,419.58799999999997,19521.72
ukesm1-0-ll,historical,40,25,-91,75,mag8,04-25,1966,8752.66,430.83,22285.56
