,model_label,year,precipitation,temperature
0,historical_ukesm1-0-ll,1982,0.011431821621954441,283.4179992675781
1,historical_mri-esm2-0,2000,0.016709964722394943,286.5776672363281
2,historical_gfdl-esm4,1989,0.01354227028787136,285.7411193847656
3,historical_ipsl-cm6a-lr,1985,0.01078299805521965,284.13848876953125
4,historical_mpi-esm1-2-hr,1992,0.013699699193239212,283.8912658691406
5,historical_gfdl-esm4,1984,0.009852572344243526,285.1501159667969
6,historical_mpi-esm1-2-hr,1993,0.0143278818577528,284.5246276855469
7,historical_mpi-esm1-2-hr,1997,0.007743981666862965,286.116943359375
8,historical_mpi-esm1-2-hr,1995,0.010982549749314785,283.6986083984375
9,historical_ukesm1-0-ll,1992,0.014497420750558376,286.1256103515625
10,historical_gfdl-esm4,2000,0.01228848285973072,282.8821105957031
11,historical_ipsl-cm6a-lr,1983,0.011952050030231476,283.78887939453125
12,historical_ukesm1-0-ll,1984,0.011338576674461365,282.5862731933594
13,historical_ukesm1-0-ll,1990,0.01539420336484909,285.465576171875
14,historical_ipsl-cm6a-lr,1988,0.017358148470520973,283.0970153808594
15,historical_ipsl-cm6a-lr,1996,0.015652960166335106,286.17242431640625
16,historical_mpi-esm1-2-hr,1983,0.016781995072960854,284.48382568359375
17,historical_mri-esm2-0,1999,0.017066726461052895,285.211669921875
18,historical_ukesm1-0-ll,1986,0.016222696751356125,282.8016052246094
19,historical_ukesm1-0-ll,2000,0.010806712321937084,286.3061828613281
