GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mpi-esm1-2-hr,historical,40,25,-91,75,mag3,04-25,1995,10262.39,388.769,20102.29
ukesm1-0-ll,historical,40,25,-91,75,mag2,04-25,2000,8873.3,487.045,22725.76
ipsl-cm6a-lr,historical,40,25,-91,75,mag7,05-25,1983,10524.23,396.885,22058.67
mri-esm2-0,historical,40,25,-91,75,mag3,04-25,2000,8825.75,385.412,18262.29
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,04-15,1992,8583.59,425.594,20819.67
ukesm1-0-ll,historical,40,25,-91,75,mag4,04-15,1984,16153.03,470.448,27621.94
ukesm1-0-ll,historical,40,25,-91,75,mag2,04-25,1990,9091.68,457.20399999999995,23245.76
mri-esm2-0,historical,40,25,-91,75,mag7,05-25,1999,7940.76,365.72400000000005,16064.71
gfdl-esm4,historical,40,25,-91,75,mag5,05-07,1989,11168.33,384.35499999999996,19498.39
gfdl-esm4,historical,40,25,-91,75,mag5,05-15,2000,7867.91,330.08500000000004,14875.2
ipsl-cm6a-lr,historical,40,25,-91,75,mag5,04-15,1985,8751.23,363.517,15326.75
ukesm1-0-ll,historical,40,25,-91,75,mag7,05-25,1986,12214.26,430.564,24296.45
gfdl-esm4,historical,40,25,-91,75,mag6,04-25,1989,10503.43,415.025,20740.6
mpi-esm1-2-hr,historical,40,25,-91,75,mag6,05-25,1983,10095.78,366.35,17783.26
ukesm1-0-ll,historical,40,25,-91,75,mag8,04-25,1982,11362.11,481.972,24940.43
gfdl-esm4,historical,40,25,-91,75,mag3,05-25,1984,8615.84,348.348,17047.47
ukesm1-0-ll,historical,40,25,-91,75,mag6,05-25,1982,12133.87,393.01099999999997,22078.78
mpi-esm1-2-hr,historical,40,25,-91,75,mag8,04-25,1983,8553.68,448.164,21383.96
ipsl-cm6a-lr,historical,40,25,-91,75,mag7,04-15,1996,7686.9,432.146,19259.22
gfdl-esm4,historical,40,25,-91,75,mag8,05-25,1989,10686.74,439.626,23070.85
gfdl-esm4,historical,40,25,-91,75,mag5,05-07,1984,9542.93,390.578,19281.72
mri-esm2-0,historical,40,25,-91,75,mag8,04-25,2000,8031.33,467.072,20452.54
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,05-15,1992,8985.17,439.53900000000004,22821.83
mri-esm2-0,historical,40,25,-91,75,mag6,05-25,2000,8533.93,374.28700000000003,17236.07
mri-esm2-0,historical,40,25,-91,75,mag2,04-25,1999,9614.14,443.652,22516.04
ukesm1-0-ll,historical,40,25,-91,75,mag7,05-25,1990,7404.05,365.409,17063.01
ukesm1-0-ll,historical,40,25,-91,75,mag7,05-25,2000,6977.24,397.534,16101.52
mpi-esm1-2-hr,historical,40,25,-91,75,mag6,05-25,1995,9477.07,395.953,19660.86
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,04-25,1983,11203.08,460.08500000000004,26093.99
mpi-esm1-2-hr,historical,40,25,-91,75,mag8,04-25,1995,8356.99,479.163,22581.19
gfdl-esm4,historical,40,25,-91,75,mag3,05-25,1989,11604.87,353.101,19383.74
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,04-15,1997,7220.28,387.483,15235.22
mpi-esm1-2-hr,historical,40,25,-91,75,mag3,04-25,1983,9379.09,363.89599999999996,19236.01
gfdl-esm4,historical,40,25,-91,75,mag8,05-25,1984,8651.41,446.57800000000003,20162.8
ukesm1-0-ll,historical,40,25,-91,75,mag3,04-25,1982,11564.03,389.353,20784.85
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,05-15,1996,10320.23,455.37199999999996,23207.56
gfdl-esm4,historical,40,25,-91,75,mag6,04-25,1984,9450.62,425.86199999999997,20100.69
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,04-15,1993,15369.99,459.67600000000004,25127.07
ukesm1-0-ll,historical,40,25,-91,75,mag2,04-25,1986,10942.0,495.548,27229.21
ipsl-cm6a-lr,historical,40,25,-91,75,mag5,04-15,1988,7894.17,344.615,15191.3
ukesm1-0-ll,historical,40,25,-91,75,mag4,04-15,1992,14374.14,473.07899999999995,23704.09
gfdl-esm4,historical,40,25,-91,75,mag6,04-15,1989,9803.79,406.636,19713.93
mpi-esm1-2-hr,historical,40,25,-91,75,mag6,05-15,1983,9950.75,374.27,18314.3
ukesm1-0-ll,historical,40,25,-91,75,mag8,04-15,1982,11248.48,483.452,25286.68
ukesm1-0-ll,historical,40,25,-91,75,mag7,05-07,1984,10363.91,426.375,23315.89
