GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,ssp585,40,25,-91,75,mag5,05-07,2087,2093.96,321.669,5200.17
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,04-25,2098,3187.47,355.318,8645.2
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag4,05-15,2099,3730.11,372.494,6519.85
mpi-esm1-2-hr,ssp126,40,25,-91,75,mag2,05-07,2092,1814.32,240.239,7180.02
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-15,2081,3944.63,324.752,9412.54
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,05-07,2091,1138.41,364.844,7178.16
gfdl-esm4,ssp126,40,25,-91,75,mag2,05-07,2091,627.87,316.97700000000003,12986.99
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,04-25,2090,4197.41,344.304,9513.36
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2098,3154.38,345.341,11388.04
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag8,05-07,2089,5010.31,437.312,15123.68
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag5,04-25,2081,8225.78,351.662,15112.65
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag3,04-15,2087,4287.86,340.202,8728.48
ukesm1-0-ll,ssp585,40,25,-91,75,mag8,05-25,2087,590.8,318.37,5390.91
ukesm1-0-ll,ssp126,40,25,-91,75,mag3,05-25,2098,1080.63,218.887,4528.88
mri-esm2-0,ssp585,40,25,-91,75,mag6,05-15,2085,2248.16,298.628,9675.31
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag6,04-15,2090,5549.22,395.40200000000004,10988.64
mri-esm2-0,ssp585,40,25,-91,75,mag3,05-25,2086,5143.84,274.04499999999996,9541.42
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag8,05-15,2090,4400.16,411.278,11539.76
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,04-25,2097,3373.03,343.462,12850.86
ukesm1-0-ll,ssp585,40,25,-91,75,mag6,04-25,2087,3207.35,349.939,7155.79
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,05-07,2098,3678.27,345.761,7355.81
ukesm1-0-ll,ssp370,40,25,-91,75,mag5,05-25,2091,1453.31,287.373,4263.33
mri-esm2-0,ssp585,40,25,-91,75,mag8,04-15,2085,1882.59,352.51300000000003,12925.43
ipsl-cm6a-lr,ssp126,40,25,-91,75,mag6,05-07,2081,7955.09,373.679,16286.07
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag5,05-25,2089,5264.68,325.974,10394.65
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag8,04-15,2087,3404.82,436.817,11194.27
gfdl-esm4,ssp585,40,25,-91,75,mag5,04-15,2092,6615.15,321.218,13790.06
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag3,05-07,2089,6630.09,357.503,13288.28
ukesm1-0-ll,ssp585,40,25,-91,75,mag7,05-07,2099,832.51,339.473,5350.35
ukesm1-0-ll,ssp370,40,25,-91,75,mag6,05-25,2090,1531.5,319.825,5085.44
ukesm1-0-ll,ssp370,40,25,-91,75,mag8,04-25,2090,2328.31,431.642,10625.61
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag6,05-15,2087,3042.74,355.87199999999996,7461.24
ukesm1-0-ll,ssp585,40,25,-91,75,mag2,05-25,2098,682.31,272.371,6944.8
ukesm1-0-ll,ssp370,40,25,-91,75,mag3,05-07,2091,2267.5,300.80100000000004,5787.23
mri-esm2-0,ssp585,40,25,-91,75,mag5,05-07,2086,4495.63,309.108,10395.72
ukesm1-0-ll,ssp126,40,25,-91,75,mag5,05-07,2098,1343.9,271.704,6858.49
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,05-25,2098,2640.81,322.626,6457.04
gfdl-esm4,ssp126,40,25,-91,75,mag4,05-25,2091,1289.04,275.37699999999995,8688.06
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2099,3437.72,372.326,7576.48
