,model_label,year,precipitation,temperature
0,ssp370_gfdl-esm4,2042,0.009964127093553543,286.555908203125
1,ssp585_ukesm1-0-ll,2055,0.01642526127398014,290.20623779296875
2,ssp585_gfdl-esm4,2042,0.007416981738060713,287.2584533691406
3,ssp370_ukesm1-0-ll,2059,0.01026218757033348,290.74285888671875
4,ssp126_ipsl-cm6a-lr,2043,0.007879574783146381,288.3747253417969
5,ssp370_mpi-esm1-2-hr,2055,0.01332759577780962,286.4355163574219
6,ssp585_ukesm1-0-ll,2050,0.01642008312046528,291.2555236816406
7,ssp585_mri-esm2-0,2057,0.019154157489538193,288.34906005859375
8,ssp126_gfdl-esm4,2060,0.011490619741380215,284.62969970703125
9,ssp126_gfdl-esm4,2047,0.016478750854730606,286.3002014160156
10,ssp370_ukesm1-0-ll,2049,0.011645306833088398,289.8266906738281
11,ssp370_ukesm1-0-ll,2057,0.015254120342433453,290.8548278808594
12,ssp585_mpi-esm1-2-hr,2056,0.015079624950885773,285.4541015625
13,ssp585_mpi-esm1-2-hr,2057,0.01947673410177231,286.75872802734375
14,ssp585_ukesm1-0-ll,2053,0.016945920884609222,292.12274169921875
15,ssp585_gfdl-esm4,2051,0.012699369341135025,288.1507263183594
16,ssp585_ukesm1-0-ll,2059,0.017091069370508194,290.20855712890625
17,ssp370_ipsl-cm6a-lr,2054,0.014655265025794506,288.6649169921875
18,ssp585_ipsl-cm6a-lr,2041,0.02141691744327545,286.19189453125
19,ssp585_ukesm1-0-ll,2056,0.009126937948167324,292.21722412109375
