GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
ukesm1-0-ll,ssp126,40,25,-91,75,mag8,04-25,2040,5487.52,493.965,15884.6
ukesm1-0-ll,ssp126,40,25,-91,75,mag3,05-25,2039,5331.97,304.44,10691.72
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,04-25,2023,15165.13,451.08400000000006,25397.54
ukesm1-0-ll,ssp370,40,25,-91,75,mag2,05-07,2022,7073.53,506.27599999999995,17801.96
ukesm1-0-ll,ssp126,40,25,-91,75,mag6,05-25,2040,4813.36,357.906,10711.78
gfdl-esm4,ssp585,40,25,-91,75,mag4,05-25,2026,13465.51,399.525,21281.76
gfdl-esm4,ssp585,40,25,-91,75,mag4,04-15,2028,12125.59,425.62600000000003,20469.47
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag3,05-15,2033,7317.14,363.399,15269.82
ukesm1-0-ll,ssp126,40,25,-91,75,mag4,05-15,2029,11158.75,415.821,18166.51
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag7,05-07,2039,6610.64,436.381,17236.4
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,04-25,2040,10354.88,456.901,19963.09
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag3,04-15,2029,7321.91,352.015,16509.06
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag7,05-07,2023,10009.0,406.89500000000004,21396.6
ukesm1-0-ll,ssp370,40,25,-91,75,mag7,05-07,2040,5542.51,398.494,15487.57
mpi-esm1-2-hr,ssp370,40,25,-91,75,mag4,04-25,2039,11340.39,467.105,20865.36
ipsl-cm6a-lr,ssp585,40,25,-91,75,mag2,04-25,2023,8814.31,477.68600000000004,22028.83
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,05-25,2038,11436.08,387.414,18325.07
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag4,04-15,2036,9407.84,434.267,17128.27
ipsl-cm6a-lr,ssp370,40,25,-91,75,mag4,05-15,2036,13067.91,396.223,20133.7
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag6,04-15,2033,9449.21,416.41499999999996,20034.35
ukesm1-0-ll,ssp370,40,25,-91,75,mag4,04-15,2037,9423.84,466.527,18135.65
mpi-esm1-2-hr,ssp585,40,25,-91,75,mag2,05-07,2038,10007.72,437.32,22939.25
ukesm1-0-ll,ssp585,40,25,-91,75,mag4,04-25,2038,8810.36,437.71999999999997,17825.96
