GCM,RCP,Lat,Lat1,Lon,Lon1,Cul,Sow,Year,Yield,CWR,Biomass
mri-esm2-0,historical,40,25,-91,75,mag4,05-15,1999,11918.98,401.2,19543.46
ipsl-cm6a-lr,historical,40,25,-91,75,mag8,05-07,1988,7310.97,403.385,17936.72
ipsl-cm6a-lr,historical,40,25,-91,75,mag3,05-07,1985,8911.74,359.801,16455.56
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,04-15,1993,10713.68,388.964,19910.61
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,05-15,1983,7568.17,398.848,22167.3
gfdl-esm4,historical,40,25,-91,75,mag8,05-25,2000,1243.93,304.608,11328.21
gfdl-esm4,historical,40,25,-91,75,mag5,05-15,1989,11035.94,366.858,19207.28
mpi-esm1-2-hr,historical,40,25,-91,75,mag4,04-15,1997,6824.1,388.171,15402.46
ukesm1-0-ll,historical,40,25,-91,75,mag7,04-25,1984,9905.18,429.54,23260.68
mpi-esm1-2-hr,historical,40,25,-91,75,mag2,04-25,1983,10332.73,456.631,24057.37
ipsl-cm6a-lr,historical,40,25,-91,75,mag5,05-25,1988,7608.21,308.08,14250.71
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,05-25,1995,3276.89,322.714,13213.17
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-15,1986,17032.09,468.96,28169.65
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-25,1992,9733.95,448.576,22504.01
gfdl-esm4,historical,40,25,-91,75,mag5,05-07,2000,7496.58,331.437,15692.49
mpi-esm1-2-hr,historical,40,25,-91,75,mag3,05-15,1992,7910.38,330.647,16029.17
ipsl-cm6a-lr,historical,40,25,-91,75,mag2,04-25,1996,9441.28,448.767,22830.96
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-07,1984,16200.24,448.082,27524.56
ukesm1-0-ll,historical,40,25,-91,75,mag5,05-15,1982,10750.51,371.03799999999995,19858.03
ukesm1-0-ll,historical,40,25,-91,75,mag4,05-25,1992,12737.03,418.63200000000006,21024.32
gfdl-esm4,historical,40,25,-91,75,mag3,05-07,2000,7607.69,326.40999999999997,15712.48
ipsl-cm6a-lr,historical,40,25,-91,75,mag6,04-25,1985,9527.51,408.87600000000003,18272.51
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-15,1986,11445.8,478.392,25781.88
ipsl-cm6a-lr,historical,40,25,-91,75,mag8,05-25,1985,10347.9,429.638,21255.48
ipsl-cm6a-lr,historical,40,25,-91,75,mag3,05-25,1988,7349.65,300.80100000000004,13957.25
ukesm1-0-ll,historical,40,25,-91,75,mag3,05-15,1982,10402.58,362.75,19423.76
ipsl-cm6a-lr,historical,40,25,-91,75,mag4,04-25,1996,12739.39,436.183,21915.23
ukesm1-0-ll,historical,40,25,-91,75,mag2,05-07,1984,8749.39,446.491,23876.57
mpi-esm1-2-hr,historical,40,25,-91,75,mag7,05-07,1983,9587.15,413.38,20356.04
mpi-esm1-2-hr,historical,40,25,-91,75,mag5,05-15,1992,8245.38,342.277,16456.03
mpi-esm1-2-hr,historical,40,25,-91,75,mag3,04-15,1993,10315.33,376.751,19419.6
